name,icon,price
CoinMarketCap 20 Index DTF,CMC20,N/A
Bitcoin,BTC,N/A
Ethereum,ETH,N/A
Tether,USDT,N/A
XRP,XRP,N/A
BNB,BNB,N/A
USDC,USDC,N/A
Solana,SOL,N/A
TRON,TRX,N/A
Dogecoin,DOGE,N/A
Hyperliquid,HYPE,N/A
UNUS SED LEO,LEO,N/A
Cardano,ADA,N/A
Bitcoin Cash,BCH,N/A
Chainlink,LINK,N/A
Monero,XMR,N/A
Zcash,ZEC,N/A
Canton,CC,N/A
Ethena USDe,USDe,N/A
Dai,DAI,N/A
Stellar,XLM,N/A
World Liberty Financial USD,USD1,N/A
Litecoin,LTC,N/A
Avalanche,AVAX,N/A
PayPal USD,PYUSD,N/A
Hedera,HBAR,N/A
Sui,SUI,N/A
Shiba Inu,SHIB,N/A
MemeCore,M,N/A
Toncoin,TON,N/A
Cronos,CRO,N/A
Bittensor,TAO,N/A
World Liberty Financial,WLFI,N/A
Tether Gold,XAUt,N/A
PAX Gold,PAXG,N/A
Mantle,MNT,N/A
Polkadot,DOT,N/A
Global Dollar,USDG,N/A
Uniswap,UNI,N/A
Sky,SKY,N/A
OKB,OKB,N/A
NEAR Protocol,NEAR,N/A
Pi,PI,N/A
Aster,ASTER,N/A
USDD,USDD,N/A
Pepe,PEPE,N/A
Internet Computer,ICP,N/A
Aave,AAVE,N/A
Ripple USD,RLUSD,N/A
Bitget Token,BGB,N/A
Ethereum Classic,ETC,N/A
Ondo,ONDO,N/A
KuCoin Token,KCS,N/A
Render,RENDER,N/A
United Stables,U,N/A
Algorand,ALGO,N/A
Quant,QNT,N/A
Polygon (prev. MATIC),POL,N/A
Cosmos,ATOM,N/A
Worldcoin,WLD,N/A
Kaspa,KAS,N/A
Ethena,ENA,N/A
DeXe,DEXE,N/A
GateToken,GT,N/A
Morpho,MORPHO,N/A
Filecoin,FIL,N/A
Midnight,NIGHT,N/A
OFFICIAL TRUMP,TRUMP,N/A
Aptos,APT,N/A
Arbitrum,ARB,N/A
Flare,FLR,N/A
LayerZero,ZRO,N/A
JUST,JST,N/A
XDC Network,XDC,N/A
VeChain,VET,N/A
Pump.fun,PUMP,N/A
Nexo,NEXO,N/A
Jupiter,JUP,N/A
Stable,STABLE,N/A
Artificial Superintelligence Alliance,FET,N/A
siren,SIREN,N/A
Bonk,BONK,N/A
TrueUSD,TUSD,N/A
PancakeSwap,CAKE,N/A
Dash,DASH,N/A
Virtuals Protocol,VIRTUAL,N/A
Pudgy Penguins,PENGU,N/A
EURC,EURC,N/A
Chiliz,CHZ,N/A
Monad,MON,N/A
Stacks,STX,N/A
First Digital USD,FDUSD,N/A
Sei,SEI,N/A
Tezos,XTZ,N/A
Decred,DCR,N/A
Venice Token,VVV,N/A
edgeX,EDGE,N/A
ether.fi,ETHFI,N/A
Sun [New],SUN,N/A
Aerodrome Finance,AERO,N/A
Curve DAO Token,CRV,N/A
