job_title,compnay name,compnay location,job link,tags
Senior Software Engineer,Stellar AI,🇪🇺 Europe,https://remoteok.com//remote-jobs/remote-senior-software-engineer-stellar-ai-1128869,"['Developer', 'Train']"
Senior Software Engineer,Sysdig,Bangalore,https://remoteok.com//remote-jobs/remote-senior-software-engineer-sysdig-1130967,"['Software', 'Design', 'Security', 'Support', 'Testing', 'Code', 'Cloud', 'Lead', 'Senior', 'Operational', 'Go', 'Health', 'Engineer', 'Engineering', 'Backend']"
Senior Software Engineer,PlayOn,🌏 Probably worldwide,https://remoteok.com//remote-jobs/remote-senior-software-engineer-playon-1130957,"['Software', 'Senior', 'Engineer']"
Software Engineer,Prove,Dublin,https://remoteok.com//remote-jobs/remote-software-engineer-prove-1130955,"['Software', 'Security', 'Engineer']"
Senior Software Engineer Full Stack,Grow Therapy,"New York, NY",https://remoteok.com//remote-jobs/remote-senior-software-engineer-full-stack-grow-therapy-1130933,"['Software', 'System', 'Technical', 'Senior', 'Healthcare', 'Engineer', 'Engineering']"
Software Engineer,Clover Health,USA,https://remoteok.com//remote-jobs/remote-software-engineer-clover-health-1130932,"['Software', 'Design', 'Financial', 'Cloud', 'Management', 'Operational', 'Medical', 'Health', 'Healthcare', 'Engineer']"
Staff Software Engineer Platform,SmithRx,🌏 Probably worldwide,https://remoteok.com//remote-jobs/remote-staff-software-engineer-platform-smithrx-1130915,"['Software', 'Design', 'System', 'Test', 'Management', 'Healthcare', 'Engineer', 'Engineering']"
Engenharia Software Engineer III Golang Elixir,Stone,Remoto,https://remoteok.com//remote-jobs/remote-engenharia-software-engineer-iii-golang-elixir-stone-1130912,"['Software', 'Golang', 'Engineer']"
Senior Software Engineer C++ Windows SDK WIN32 API,Ivanti,Hyderabad,https://remoteok.com//remote-jobs/remote-senior-software-engineer-c-windows-sdk-win32-api-ivanti-1130909,"['Software', 'Design', 'SaaS', 'Security', 'Technical', 'Support', 'C++', 'Cloud', 'API', 'Microsoft', 'Management', 'Lead', 'Senior', 'Reliability', 'Engineer', 'Engineering']"
Lead Front End Software Engineer,Callibrity,💰 Upgrade to Premium to see salary,https://remoteok.com//remote-jobs/remote-lead-front-end-software-engineer-callibrity-1130866,"['Software', 'Design', 'Front-End', 'Consulting', 'Technical', 'Developer', 'Angular', 'Leader', 'Lead', 'Engineer', 'Backend']"
Software Engineer C,Octo Horizon,🌏 Worldwide,https://remoteok.com//remote-jobs/remote-software-engineer-c-octo-horizon-1128583,"['Engineer', 'Technical', 'Cloud', 'Developer']"
Software engineer,Sticker Mule,🇪🇺 Europe,https://remoteok.com//remote-jobs/remote-software-engineer-sticker-mule-1093738,"['Engineer', 'Docker', 'Redis', 'GCP', 'Postgres', 'Kubernetes', 'Developer']"
Senior Staff Software Engineer AI Customer Operations,Monzo,"Cardiff, London",https://remoteok.com//remote-jobs/remote-senior-staff-software-engineer-ai-customer-operations-monzo-1130839,"['Software', 'Financial', 'Edu', 'Bank', 'Senior', 'Operations', 'Engineer', 'Engineering']"
Senior Staff Software Engineer AI Customer Operations,Monzo,"Cardiff, London",https://remoteok.com//remote-jobs/remote-senior-staff-software-engineer-ai-customer-operations-monzo-1130839,"['Software', 'Financial', 'Edu', 'Bank', 'Senior', 'Operations', 'Engineer', 'Engineering']"
Software Engineer Reliability,OpenAI,San Francisco,https://remoteok.com//remote-jobs/remote-software-engineer-reliability-openai-1130817,"['Software', 'Design', 'Grafana', 'System', 'Security', 'Support', 'Testing', 'Code', 'Cloud', 'Management', 'Reliability', 'Engineer', 'Engineering']"
Chief Software Engineer Head of Edge Systems & Fleet Management,Anduril Industries,Seattle,https://remoteok.com//remote-jobs/remote-chief-software-engineer-head-of-edge-systems-fleet-management-anduril-industries-1130806,"['Software', 'Design', 'System', '3d', 'Code', 'Cloud', 'Strategy', 'Management', 'Operational', 'Health', 'Engineer', 'Engineering']"
Senior Software Engineer Identity,Peregrine Technologies,"Washington, D.C.",https://remoteok.com//remote-jobs/remote-senior-software-engineer-identity-peregrine-technologies-1130800,"['Software', 'Management', 'Senior', 'Operational', 'Engineer', 'Engineering']"
Senior Software Engineer,Loancrate,🇺🇸 United States,https://remoteok.com//remote-jobs/remote-senior-software-engineer-loancrate-1130794,"['Full Stack', 'JavaScript', 'React', 'Node', 'Docker', 'Typescript', 'GraphQL', 'Postgres', 'AWS']"
Staff Software Engineer,Office Hours,🌏 Probably worldwide,https://remoteok.com//remote-jobs/remote-staff-software-engineer-office-hours-1130769,"['Software', 'System', 'Consulting', 'Technical', 'Code', 'Investment', 'Mongo', 'Health', 'Engineer', 'Engineering']"
Software Engineer New Grad Production Infrastructure,Palantir Technologies,"Seattle, WA",https://remoteok.com//remote-jobs/remote-software-engineer-new-grad-production-infrastructure-palantir-technologies-1130763,"['Software', 'Design', 'Front-End', 'Security', 'Teaching', 'Technical', 'Code', 'Java', 'Cloud', 'Typescript', 'Reliability', 'Go', 'Health', 'Engineer', 'Backend']"
Senior Software Engineer Ruby on Rails,Versapay,Canada (Remote),https://remoteok.com//remote-jobs/remote-senior-software-engineer-ruby-on-rails-versapay-1130745,"['Software', 'SaaS', 'Technical', 'Developer', 'Code', 'Finance', 'Fintech', 'Ruby', 'Rails', 'Senior', 'Ror', 'Engineer']"
Senior Software Engineer Karpenter,Cast AI,🌏 Probably worldwide,https://remoteok.com//remote-jobs/remote-senior-software-engineer-karpenter-cast-ai-1130741,"['Golang', 'Software', 'Cloud', 'Senior', 'Engineer']"
Senior Software Engineer Reporting,Cast AI,🌏 Probably worldwide,https://remoteok.com//remote-jobs/remote-senior-software-engineer-reporting-cast-ai-1130742,"['Golang', 'Software', 'Cloud', 'Senior', 'Engineer']"
Senior Software Engineer Data Platform,Zus Health,United States,https://remoteok.com//remote-jobs/remote-senior-software-engineer-data-platform-zus-health-1130735,"['Software', 'Embedded', 'System', 'Ceo', 'Technical', 'Director', 'Code', 'Video', 'Cloud', 'Senior', 'Go', 'Medical', 'Health', 'Healthcare', 'Engineer', 'Engineering', 'Apache']"
Senior Software Engineer,Omada Health,USA,https://remoteok.com//remote-jobs/remote-senior-software-engineer-omada-health-1130714,"['Software', 'Design', 'Technical', 'Leader', 'Senior', 'Medical', 'Health', 'Engineer']"
Senior Software Engineer Python Django PostgreSQL and Vue.js,GHX,🌏 Probably worldwide,https://remoteok.com//remote-jobs/remote-senior-software-engineer-python-django-postgresql-and-vue-js-ghx-1130694,"['Python', 'Django', 'Software', 'Design', 'SaaS', 'Security', 'Full-Stack', 'Technical', 'Developer', 'Testing', 'Code', 'DevOps', 'Cloud', 'Git', 'PostgreSQL', 'Senior', 'Operations', 'Engineer']"
